Wavelength (nm),Transmittance ITO (%),Transmittance CdS (%),Transmittance Si (%),Transmittance GaAs (%)
904,80.513,84.303,0.133,7.785
905,80.685,85.229,0.096,8.269
906,80.809,86.139,0.128,8.794
907,81.051,86.996,0.141,9.316
908,81.117,87.771,0.157,9.782
909,81.323,88.522,0.13,10.178
910,81.394,89.155,0.174,10.507
911,81.645,89.811,0.212,10.752
912,81.713,90.275,0.182,10.982
913,81.849,90.669,0.159,11.228
914,81.91,90.941,0.124,11.52
915,82.108,91.189,0.169,11.719
916,82.22,91.26,0.192,11.907
917,82.394,91.203,0.218,12.151
918,82.499,91.108,0.212,12.431
919,82.658,90.945,0.189,12.727
920,82.846,90.753,0.16,13.056
921,83.026,90.394,0.143,13.411
922,83.132,89.946,0.135,13.794
923,83.216,89.364,0.099,14.118
924,83.297,88.751,0.11,14.397
925,83.46,88.094,0.128,14.676
926,83.579,87.383,0.179,14.953
927,83.708,86.577,0.136,15.155
928,83.861,85.751,0.151,15.323
929,84.089,84.862,0.139,15.444
930,84.314,84.038,0.147,15.594
931,84.489,83.167,0.145,15.699
932,84.618,82.307,0.159,15.804
933,84.794,81.372,0.159,15.92
934,84.97,80.491,0.166,15.982
935,85.129,79.598,0.145,16.037
936,85.307,78.693,0.136,16.07
937,85.454,77.833,0.113,16.16
938,85.607,77.024,0.117,16.247
939,85.688,76.275,0.105,16.306
940,85.839,75.466,0.1,16.384
941,86.016,74.718,0.085,16.442
942,86.206,74.036,0.115,16.55
943,86.386,73.345,0.131,16.615
944,86.474,72.614,0.16,16.663
945,86.586,71.906,0.175,16.692
946,86.763,71.349,0.15,16.776
947,86.954,70.864,0.106,16.804
948,87.097,70.406,0.114,16.858
949,87.227,69.983,0.117,16.887
950,87.358,69.567,0.182,16.955
951,87.508,69.204,0.138,17.032
952,87.618,68.86,0.141,17.064
953,87.755,68.615,0.137,17.146
954,87.904,68.44,0.177,17.175
955,87.971,68.326,0.176,17.246
956,88.129,68.282,0.151,17.27
957,88.229,68.245,0.155,17.308
958,88.356,68.248,0.183,17.341
959,88.389,68.267,0.194,17.373
960,88.58,68.377,0.17,17.404
961,88.752,68.529,0.177,17.385
962,88.907,68.75,0.193,17.425
963,88.956,68.998,0.224,17.466
964,89.003,69.282,0.242,17.506
965,89.126,69.654,0.263,17.503
966,89.26,70.032,0.295,17.491
967,89.428,70.495,0.333,17.513
968,89.529,70.898,0.337,17.509
969,89.643,71.375,0.342,17.51
970,89.752,71.909,0.312,17.499
971,89.854,72.479,0.32,17.509
972,89.922,73.089,0.335,17.503
973,89.962,73.612,0.371,17.503
974,90.105,74.237,0.403,17.527
975,90.194,74.875,0.413,17.544
976,90.357,75.631,0.459,17.551
977,90.416,76.344,0.477,17.546
978,90.543,77.097,0.508,17.513
